Attack,Stretch,Stretch_sum,Translate,Translate_sum,Voltage
0.5,0.5,1.0,0.5,1.0,0.9174
0.5,0.5,1.0,0.5,1.0,0.9176
0.5,0.5,1.0,0.5,1.0,0.9178000000000001
0.5,0.5,1.0,0.5,1.0,0.918
0.5,0.5,1.0,0.5,1.0,0.9182
0.5,0.5,1.0,0.5,1.0,0.9184
0.5,0.5,1.0,0.5,1.0,0.9186000000000001
0.5,0.5,1.0,0.5,1.0,0.9188000000000001
0.5,0.5,1.0,0.5,1.0,0.919
0.5,0.5,1.0,0.5,1.0,0.9192
0.5,0.5,1.0,0.5,1.0,0.9194
0.5,0.5,1.0,0.5,1.0,0.9196
0.5,0.5,1.0,0.5,1.0,0.9198000000000001
0.5,0.5,1.0,0.5,1.0,0.92
0.5,0.5,1.0,0.49666666666666665,0.9966666666666666,0.9202
0.5,0.5,1.0,0.49333333333333335,0.9933333333333334,0.9204
0.5,0.5,1.0,0.49,0.99,0.9206000000000001
0.5,0.5,1.0,0.4866666666666667,0.9866666666666667,0.9208000000000001
0.5,0.5,1.0,0.48333333333333334,0.9833333333333334,0.921
0.5,0.5,1.0,0.48,0.98,0.9212
0.5,0.5,1.0,0.4766666666666667,0.9766666666666667,0.9214
0.5,0.5,1.0,0.47333333333333333,0.9733333333333334,0.9216
0.5,0.5,1.0,0.47,0.97,0.9218000000000001
0.5,0.5,1.0,0.4666666666666667,0.9666666666666667,0.922
0.5,0.5,1.0,0.4633333333333333,0.9633333333333334,0.9222
0.5,0.5,1.0,0.46,0.96,0.9224
0.5,0.5,1.0,0.45666666666666667,0.9566666666666667,0.9226
0.5,0.5,1.0,0.4533333333333333,0.9533333333333334,0.9228000000000001
0.5,0.5,1.0,0.45,0.95,0.923
0.5,0.5,1.0,0.44666666666666666,0.9466666666666667,0.9232
0.5,0.5,1.0,0.44333333333333336,0.9433333333333334,0.9234
0.5,0.5,1.0,0.44,0.94,0.9236
0.5,0.5,1.0,0.43666666666666665,0.9366666666666666,0.9238000000000001
0.5,0.5,1.0,0.43333333333333335,0.9333333333333333,0.924
0.5,0.5,1.0,0.43,0.9299999999999999,0.9242
0.5,0.5,1.0,0.42666666666666664,0.9266666666666666,0.9244
0.5,0.5,1.0,0.42333333333333334,0.9233333333333333,0.9246
0.5,0.5,1.0,0.42,0.9199999999999999,0.9248000000000001
0.5,0.5,1.0,0.41666666666666663,0.9166666666666666,0.925
0.5,0.5,1.0,0.41333333333333333,0.9133333333333333,0.9252
0.5,0.5,1.0,0.41,0.9099999999999999,0.9254
0.5,0.5,1.0,0.4066666666666667,0.9066666666666667,0.9256
0.5,0.5,1.0,0.4033333333333333,0.9033333333333333,0.9258000000000001
